,id,first_name,last_name,team_id
344,56677844,Bilal,Coulibaly,30
345,56677846,Nick,Smith Jr.,14
346,56677849,Kobe,Brown,12
347,56677850,Toumani,Camara,25
348,56677851,Jaylen,Clark,18
349,56677852,Andre,Jackson Jr.,17
350,56677856,Jordan,Miller,13
351,56677857,Julian,Phillips,18
352,56677858,Brandin,Podziemski,10
353,56677859,Olivier-Maxence,Prosper,15
354,56677861,Ben,Sheppard,12
355,56677862,Jalen,Slawson,12
356,56677864,Jordan,Walsh,2
357,56677866,Leaky,Black,30
358,56677872,Craig,Porter,6
359,57875092,Gui,Santos,10
360,64268165,Tosan,Evbuomwan,4
361,64269023,Trey,Jemison,20
362,64270026,Pete,Nance,17
363,377705601,Mouhamadou,Gueye,5
364,795959473,Pat,Spencer,10
365,1016384149,Tristan,Vukcevic,30
366,1028025177,Matas,Buzelis,5
367,1028025235,Carlton,Carrington,30
368,1028025242,Devin,Carter,26
369,1028025261,Stephon,Castle,27
370,1028025344,Donovan,Clingan,25
371,1028025362,Isaiah,Collier,29
372,1028025497,Tristan,Da Silva,22
373,1028025498,Pacome,Dadiet,20
374,1028025639,Rob,Dillingham,5
375,1028025723,Ryan,Dunn,24
376,1028025754,Zach,Edey,15
377,1028026060,KyShawn,George,30
378,1028026508,Ronald,Holland II,9
379,1028026514,DaRon,Holmes II,8
380,1028026717,AJ,Johnson,7
381,1028026812,Dillon,Jones,20
382,1028026974,Dalton,Knecht,14
383,1028027372,Jared,McCain,21
384,1028027567,Yves,Missi,19
385,1028028244,Zaccharie,Risacher,1
386,1028028379,Tidjane,Salaun,4
387,1028028405,Alexandre,Sarr,30
388,1028028434,Baylor,Scheierman,2
389,1028028501,Terrence,Shannon Jr.,18
390,1028028519,Reed,Sheppard,11
391,1028028932,Nikola,Topic,21
392,1028028993,Jaylon,Tyson,6
393,1028029111,Ja'Kobe,Walter,28
394,1028029127,Kel'el,Ware,16
395,1028029291,Cody,Williams,29
396,1028034846,Adem,Bona,23
397,1028035215,Cam,Christie,13
398,1028035794,Kyle,Filipowski,29
399,1028035897,Johnny,Furphy,12
400,1028036515,Oso,Ighodaro,24
401,1028036898,Tyler,Kolek,20
402,1028036986,Pelle,Larsson,16
403,1028037477,Ajay,Mitchell,21
404,1028037494,Jonathan,Mogbo,28
405,1028038100,Antonio,Reeves,4
406,1028038426,Jamal,Shead,28
407,1028038474,K.J.,Simpson,8
408,1028038570,Tyler,Smith,7
409,1028039105,Jaylen,Wells,15
410,1028045812,Enrique,Freeman,18
411,1028046422,Ariel,Hukporti,20
412,1028046464,Harrison,Ingram,27
413,1028046517,Bronny,James,14
414,1028047255,Kevin,McCullar Jr.,20
415,1028047609,Tristen,Newton,11
416,1028047928,Quinten,Post,10
417,1028048549,Cam,Spencer,15
418,1028112004,Zyon,Pullin,18
419,1028125584,Keshad,Johnson,16
420,1028203085,Trey,Alexander,19
421,1028203948,Isaiah,Crawford,11
422,1028205331,Isaac,Jones,9
423,1028214238,Justin,Edwards,23
424,1028214958,Blake,Hinson,29
425,1028218679,Branden,Carlson,21
426,1028240128,Daniss,Jenkins,9
427,1028242168,Isaiah,Stevens,26
428,1028243201,Jamison,Battle,28
429,1028244219,Tristan,Enaruna,6
430,1028244692,PJ,Hall,4
431,1028245237,David,Jones,27
432,1028245777,Karlo,Matkovic,19
433,1028245974,Emanuel,Miller,27
434,1028245994,Riley,Minix,6
435,1028246478,Daeqwon,Plowden,26
436,1028255289,Spencer,Jones,8
437,1028257937,Jahmir,Young,16
438,1028264794,Elijah,Harkless,29
439,1028265377,Yuki,Kawamura,5
440,1028265620,Malevy,Leons,10
441,1028266882,Cormac,Ryan,17
442,1028267166,Tolu,Smith,9
443,1028271147,Alex,Morales,22
444,1028274126,RayJ,Dennis,1
445,1042560902,Nae'Qwan,Tomlin,6
446,1043947937,Tyson,Etienne,3
447,1046672580,Drew,Timme,14
448,1057260888,Airious,Bailey,29
449,1057261935,VJ,Edgecombe,23
450,1057262088,Cooper,Flagg,7
451,1057262518,Dylan,Harper,27
452,1057262985,Tre,Johnson,30
453,1057263194,Kon,Knueppel,4
454,1057266649,Cedric,Coward,15
455,1057266813,Egor,Demin,3
456,1057267077,Jeremiah,Fears,19
457,1057268513,Khaman,Maluach,24
